source_id,l,b,ra,dec,parallax,x_kpc,y_kpc,z_kpc,radial_velocity,radius_val,j_ks_mag,ks_mag_abs
5254254705540045312,287.3250863347573,-1.4137332550923751,160.04369047028484,-60.24594323753611,0.3529804165333117,0.07,-2.7,0.84,,,0.17,0.0
5917146039661223680,332.68089930472115,-8.419697886893188,254.83075651728055,-56.215298778011636,1.1538216908463326,0.06,-0.39,0.77,,3.6117072,0.2,0.28
5344681698560237568,292.9328267008462,6.34176363327427,175.27788311743134,-55.158821025185794,0.7189399774424327,-0.14,-1.27,0.54,,3.4905772,0.16,0.01
5242139148245664640,288.5731866376758,-1.872738682545753,161.85404838473937,-61.238182842295075,0.35731822360050647,0.09,-2.65,0.89,,3.1115887,0.14,0.18
6058510249653407232,297.60245722506215,1.1723706892150818,181.73195931116405,-61.23796024838679,0.45426260082746484,-0.04,-1.95,1.02,,,0.1,0.21
5339134941636254208,291.53392203034605,1.576116700282911,170.11822087908675,-59.26765606770841,0.3292728491666285,-0.08,-2.82,1.11,,,0.1,0.03
6059009943322961664,298.35569849393784,3.2850131796818616,183.89220296365244,-59.267658882170004,1.0651200254685997,-0.05,-0.82,0.45,,3.667567,0.18,0.11
5764623229732350592,303.290573453367,-26.86339361097913,243.28979320470387,-89.58493815256631,0.30210826142146224,1.25,-2.47,1.82,,,0.1,0.08
5254826829541573376,285.63021451158124,-2.4121732847003865,156.0811227929133,-60.245096836247114,0.25616187525366196,0.16,-3.76,1.05,,3.133274,0.12,0.15
5866928972763537664,313.10445398961156,0.9697306029455756,213.7027837443341,-60.244964366593535,0.8522798373202636,-0.01,-0.86,0.8,,3.679077,0.17,0.04
5240748510841920768,292.3175138027782,-2.540727473423771,168.59816263566995,-63.39474745498467,1.7785652733779438,0.02,-0.52,0.21,,4.026034,0.15,0.08
6459712524938301184,338.3951767018095,-43.00651080785903,321.1913401861329,-57.257390554866184,5.133196403048629,0.05,-0.05,0.18,,3.6688082,0.16,0.09
4658764877270576000,278.70807897458985,-33.84354618420417,79.06228564951583,-68.13338253619635,2.4259015170248266,0.23,-0.34,0.06,,3.8731203,0.16,0.05
5242620085766223104,289.2079453180493,-12.64041481920191,148.58969480175088,-70.63189399462078,0.37551879244847425,0.55,-2.45,0.88,,3.2704048,0.19,0.15
