source_id,l,b,ra,dec,parallax,x_kpc,y_kpc,z_kpc,radial_velocity,radius_val,g_mag_abs_index,g_min_ks_index,j_ks_mag,m_ks
1378771883127374976,60.74717337360011,46.66593978448218,243.3037412724889,38.07252503703587,13.911624860706892,0.05,0.04,0.04,,1.5888644,27.0,7.0,0.15,6.29
3614696363814431744,330.89454411948145,49.148910691067464,210.9905954576223,-9.744973073866776,4.369140721081197,-0.08,-0.07,0.2,-36.50946156356281,11.068382,2.0,19.0,0.58,5.02
4506178914177243264,45.18483296045056,5.108731061493386,283.86819945941227,13.222493243466328,3.2959889370631115,0.02,0.21,0.21,,,-5.0,2.0,0.02,6.76
6079412309261312512,301.9909941541723,12.681026418776637,191.4258991896406,-50.18024696063427,20.496052748974776,-0.01,-0.04,0.03,-2.080660800554999,1.4052564,35.0,10.0,0.28,5.96
1862954301015211008,74.80297500701705,-6.771501957872153,311.6979233714943,32.41986092141219,3.2803634051447457,-0.03,0.29,0.08,,,-5.0,-1.0,-0.04,7.01
5125873666245425920,208.30021347275016,-63.77868560042241,41.2543218073704,-22.166950101547027,25.733645790530456,0.02,-0.01,-0.03,7.552175247167327,1.1307663,40.0,10.0,0.27,5.94
1605686447168075392,89.8399808827929,56.39624091304004,222.55649426950873,52.414781224718425,17.720609318882218,0.05,0.03,0.0,-47.501431865540866,1.6846821,32.0,11.0,0.27,5.83
1110103708620333696,143.39462024659437,26.602500461499755,105.89030376319252,71.7583662261884,26.810121679691356,0.01,0.02,-0.03,-15.089465106726415,1.0943475,41.0,11.0,0.29,5.82
2347490624184128640,82.81915063463637,-85.43296936917996,9.650139318556064,-23.599405324781223,15.6225661677719,-0.06,0.01,0.01,11.732949444950304,1.6172563,29.0,9.0,0.24,6.09
6525803236874662784,331.7765492341695,-61.84365682536623,351.9606318713155,-50.34366551803113,5.917294593541121,0.07,-0.04,0.15,3.3885257216449123,7.8758593,8.0,18.0,0.57,5.11
105533191914026624,143.29030758937068,-33.54612393381359,31.733685224227518,26.32349577787554,7.769674337505567,-0.04,0.06,-0.1,0.9692657989161475,6.853396,14.0,21.0,0.65,4.85
5414541441874238592,275.1410836637594,7.80855115562449,151.27532190313755,-45.89626228297809,5.0321654345491815,-0.03,-0.2,0.02,1.4731296666912321,11.220883,5.0,22.0,0.7,4.77
6447030139349235200,337.9372844839557,-30.464674053732715,297.5140142432578,-59.26408667474402,10.94072380650847,0.02,-0.03,0.08,,,21.0,3.0,0.05,6.65
3664754345088067328,338.6052235665819,61.2551019914569,209.16926534703705,2.9865040751455854,10.07885324299201,-0.03,-0.02,0.09,,1.9083514,20.0,5.0,0.14,6.42
5189985016733501440,299.5966982183624,-24.500052447935026,143.3201929493296,-86.01017798019164,14.111645577971982,0.03,-0.06,0.03,11.55713187198302,1.8855935,27.0,9.0,0.21,6.1
4008046511212377728,201.63638940317878,77.70310608298576,179.06344827394142,28.85854086690008,4.678943377902281,-0.08,-0.02,-0.2,-5.202704307898792,11.210479,3.0,21.0,0.61,4.88
5094530644186718336,212.97792195001597,-46.20604297052179,60.00120569217207,-19.24685127139409,11.658613898170879,0.03,-0.03,-0.07,26.060297413586774,2.1737597,23.0,10.0,0.29,5.91
3334161160308637312,196.44052514945028,-15.13588862022408,81.75002033451159,7.170142170576616,10.156470243376575,0.01,-0.03,-0.09,,,20.0,2.0,0.03,6.75
539239848459770624,122.53707585603523,13.07049002143513,11.276397930445674,75.93738511775223,26.16271411737498,0.01,0.03,-0.02,-9.37411646554446,1.4139975,40.0,14.0,0.37,5.53
169431963001150848,163.9577201767445,-14.524220453984483,61.66269899422921,32.385038525954485,2.11972820215767,-0.03,0.13,-0.45,,,-14.0,0.0,-0.06,6.94
1638392313888789760,100.14962099318942,32.25356722254915,262.82441329493093,69.59990802267878,4.136804221469689,0.13,0.2,-0.04,7.475225859147001,11.617295,0.0,19.0,0.57,5.01
2581154815229445376,127.57621564216704,-53.95055410411313,15.623330792374286,8.82147312544318,9.51438962876063,-0.07,0.05,-0.06,,2.2180893,18.0,6.0,0.13,6.36
5254555868638861312,286.4102596594802,-0.7159292723038859,159.1364833988279,-59.19032605260666,2.193296659762684,0.01,-0.44,0.13,,,-13.0,-4.0,-0.11,7.31
2468256377174345088,136.9940006005707,-76.25810034176811,16.266189199524884,-13.75977640611814,4.893194285278257,-0.14,0.03,-0.15,-23.781692263103224,11.103067,4.0,21.0,0.66,4.84
3819954122200360704,243.94371200090248,33.912704340352036,147.05286270697115,-7.245792570143723,5.133074134094785,-0.1,-0.15,-0.09,,,5.0,-1.0,-0.04,7.02
2060824750020658432,74.90104075965183,1.4793775067973631,303.6267595387208,37.35383431277582,0.3849516935230178,0.06,2.51,0.68,,60.957535,-51.0,7.0,0.08,6.22
1265629967669006208,30.817078239662344,62.96991867558093,222.4295321074798,23.03230512625449,19.689125502064915,0.02,0.01,0.04,2.1689638502007664,1.3879493,34.0,9.0,0.2,6.04
496116761901143040,142.15701359596957,16.30555843198049,75.52432562090625,69.159856809864,14.525259812369319,0.01,0.04,-0.05,,1.8102859,28.0,10.0,0.23,5.99
4415411480494597760,1.8433507720428135,43.285565835992664,231.43460499732006,-1.2545130160978948,17.738309363870563,0.0,0.0,0.06,-10.22784172002239,1.420331,32.0,8.0,0.23,6.12
2663898150461060992,83.02959040316524,-50.17208245760299,348.5021726910573,4.997048981748507,0.4410789361538249,-1.73,1.44,0.28,,,-48.0,-5.0,-0.11,7.45
2969201399574096256,221.79827482862243,-27.417250276369263,81.25004370753821,-19.373918301017557,3.9010992688257575,0.08,-0.15,-0.19,,,-1.0,0.0,-0.02,6.94
537708125684548352,120.56750682385434,10.398457603571671,4.825219664318035,73.12250512773213,3.8546796803358543,0.04,0.22,-0.13,-29.835467892156082,14.040508,-1.0,21.0,0.58,4.86
5829684700040816384,324.34022008719137,-7.727043595517772,243.09219258623116,-61.929187188480405,6.975142288457712,0.01,-0.08,0.12,,,12.0,0.0,-0.03,6.98
5605416351222843136,243.5980587103019,-7.095405300640755,110.91822065912535,-30.44908778353078,8.789007100347181,0.01,-0.1,-0.05,,,17.0,2.0,0.07,6.75
5424644270106781440,270.01257445354867,5.8182017109615,143.9216326167244,-44.188059430043275,8.078477631845814,-0.01,-0.12,0.0,,,15.0,2.0,0.04,6.74
5102820583902643584,209.1892186995606,-57.26729381266916,48.06410523104433,-20.619578430012474,1.921310995193893,0.21,-0.14,-0.45,,,-16.0,-4.0,-0.07,7.31
2114799500930942336,70.70938790127404,24.81010343702372,273.3720459538478,43.331577886939996,5.281643004850501,0.07,0.16,0.06,-30.701891272474988,9.783787,6.0,21.0,0.62,4.85
2518134450857487360,156.97181724322255,-53.388550279783885,32.416919575938365,4.23278733918498,4.899641442746695,-0.06,0.05,-0.19,20.89254261912175,10.552451,4.0,21.0,0.67,4.87
6780918526118460032,11.967638564327938,-42.320511879415854,317.5871993408674,-32.85016312592457,3.9423059810021925,-0.04,0.04,0.25,-0.4772054819093938,11.857504,-1.0,19.0,0.59,5.08
1168984617870183808,14.366416715647324,51.56061483735853,229.67430606657487,10.427685489641144,19.863877699311303,0.01,0.01,0.05,-36.69897181983636,1.4405861,34.0,11.0,0.3,5.88
2253858344267694464,94.91553151196123,25.083390103001797,281.14769619048127,64.8103922822561,5.747927013330377,0.07,0.16,-0.01,50.63834350050766,8.987075,8.0,21.0,0.63,4.87
6386922102104871168,310.84053068547655,-47.08943265450726,357.63977230856744,-69.09298199050062,5.434208560253739,0.1,-0.09,0.12,-1.8645360788010237,10.887421,6.0,23.0,0.73,4.67
3291772203919064960,190.53827246668496,-17.204778889546777,76.94253814172666,10.895068141822133,4.2440945195770725,0.01,-0.04,-0.23,,,1.0,2.0,0.01,6.77
2296752594969632896,115.49269615267953,27.762253013458377,275.66542668954725,83.36871844840542,3.4407172580934366,0.12,0.23,-0.13,-1.3123613280713557,13.618486,-4.0,19.0,0.54,5.06
5087544484743114240,216.4801162796396,-48.733932581117216,58.207157880725106,-22.27612606351494,10.980076209053047,0.04,-0.04,-0.07,,2.0966082,22.0,7.0,0.18,6.22
6300044779246875136,334.55600969364866,42.9973045336873,216.14907017277088,-14.081514943818009,5.095217568060303,-0.06,-0.06,0.18,-34.18166154347718,10.510542,5.0,22.0,0.68,4.8
6458951594172814848,337.0379446812921,-45.38310102914827,325.942947548352,-57.36861811778289,5.44175380774885,0.05,-0.05,0.17,-6.902455116058457,10.769961,6.0,23.0,0.74,4.68
5301329230678989568,277.94025008656996,-10.772075904774695,132.86376759351037,-61.362297280892676,17.650581778868727,0.01,-0.06,0.01,12.935573964223895,1.7939392,32.0,12.0,0.33,5.73
